,location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
0,Angola,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
1,Angola,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
2,Angola,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
3,Angola,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
4,Angola,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
5,Angola,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
6,Angola,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
7,Angola,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
8,Angola,wheat flour,folic acid,percent of vehicle that is fortified,0,,[nan]
9,Angola,wheat flour,iron,percent of vehicle that is fortified,0,,[nan]
10,Angola,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
11,Angola,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
12,Angola,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
13,Angola,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
14,Bangladesh,oil,vitamin a,percent of vehicle that is fortified,1,61.0,[61.0]
15,Bangladesh,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
16,Bangladesh,wheat flour,folic acid,percent of vehicle that is fortified,1,1.0,[1.0]
17,Bangladesh,wheat flour,iron,percent of vehicle that is fortified,1,1.0,[1.0]
18,Bangladesh,wheat flour,vitamin a,percent of vehicle that is fortified,1,1.0,[1.0]
19,Bangladesh,wheat flour,vitamin b1,percent of vehicle that is fortified,1,1.0,[1.0]
20,Bangladesh,wheat flour,vitamin b12,percent of vehicle that is fortified,1,1.0,[1.0]
21,Bangladesh,wheat flour,zinc,percent of vehicle that is fortified,1,1.0,[1.0]
22,Burkina Faso,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
23,Burkina Faso,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
24,Burkina Faso,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
25,Burkina Faso,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
26,Burkina Faso,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
27,Burkina Faso,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
28,Burkina Faso,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
29,Burkina Faso,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
30,Burkina Faso,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
31,Burkina Faso,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
32,Burkina Faso,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
33,Burkina Faso,wheat flour,folic acid,percent of vehicle that is fortified,1,62.0,[62.0]
34,Burkina Faso,wheat flour,iron,percent of vehicle that is fortified,1,62.0,[62.0]
35,Burkina Faso,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
36,Burkina Faso,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
37,Burkina Faso,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
38,Burkina Faso,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
39,Cameroon,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
40,Cameroon,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
41,Cameroon,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
42,Cameroon,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
43,Cameroon,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
44,Cameroon,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
45,Cameroon,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
46,Cameroon,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
47,Cameroon,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
48,Cameroon,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
49,Cameroon,oil,vitamin a,percent of vehicle that is fortified,3,44.33333333333334,"[44.0, 35.0, 54.0]"
50,Cameroon,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
51,Cameroon,wheat flour,folic acid,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
52,Cameroon,wheat flour,iron,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
53,Cameroon,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
54,Cameroon,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
55,Cameroon,wheat flour,vitamin b12,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
56,Cameroon,wheat flour,zinc,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
57,China,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
58,China,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
59,China,wheat flour,folic acid,percent of vehicle that is fortified,1,1.0,[1.0]
60,China,wheat flour,iron,percent of vehicle that is fortified,1,1.0,[1.0]
61,China,wheat flour,vitamin a,percent of vehicle that is fortified,1,1.0,[1.0]
62,China,wheat flour,vitamin b1,percent of vehicle that is fortified,1,1.0,[1.0]
63,China,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
64,China,wheat flour,zinc,percent of vehicle that is fortified,1,1.0,[1.0]
65,Côte d'Ivoire,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
66,Côte d'Ivoire,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
67,Côte d'Ivoire,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
68,Côte d'Ivoire,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
69,Côte d'Ivoire,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
70,Côte d'Ivoire,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
71,Côte d'Ivoire,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
72,Côte d'Ivoire,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
73,Côte d'Ivoire,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
74,Côte d'Ivoire,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
75,Côte d'Ivoire,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
76,Côte d'Ivoire,wheat flour,folic acid,percent of vehicle that is fortified,1,99.0,[99.0]
77,Côte d'Ivoire,wheat flour,iron,percent of vehicle that is fortified,1,99.0,[99.0]
78,Côte d'Ivoire,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
79,Côte d'Ivoire,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
80,Côte d'Ivoire,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
81,Côte d'Ivoire,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
82,Democratic Republic of the Congo,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
83,Democratic Republic of the Congo,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
