location_id,location_name,sub_population,vehicle,metric,mass_unit,time_unit,pop_denom,value_mean,lower,upper,mean_value_source_citation,mean_value_source_link,data_choice_notes
168,Angola,total population,maize flour,mean,g,day,capita,154.99,91.48413194770305,218.49586805229697,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=AGO&lang=en,Discarded 1997-2000 fortification handbook number (72 g/day) and 2007 Nuss number (103 g/day) in lieu of 2017 GFDx number (154 g/day). All numbers from FAO balance sheets.
168,Angola,total population,wheat flour,mean,g,day,capita,89.32,58.06279704393481,120.57720295606518,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=AGO&lang=en,Discarded 1997-2000 fortification handbook (49 g/day) in lieu of 2017 gfdx number (89 g/day). Noting gfdx had 63-71 g/day 1997-2000. All estimates from FAO
6,China,total population,wheat flour,mean,g,day,capita,171.92,111.75723318174286,232.0827668182571,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=CHN&lang=en,Discarded earlier FAO estimates for 2017 GFDx FAO estimate
141,Egypt,total population,maize flour,mean,g,day,capita,167.21,98.6970882184362,235.72291178156382,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=EGY&lang=en,Discarded 1997-2000 fortification handbook number (114 g/day) in lieu of 2017 GFDx estimate (167 g/day). Both are FAO estimates.
141,Egypt,total population,wheat flour,mean,g,day,capita,399.23,259.520941153718,538.939058846282,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=EGY&lang=en,Discarded 1997-2000 fortification handbook number (281 g/day) in lieu of 2017 GFDx estimate (399 g/day). Both are FAO estimates.
207,Ghana,total population,maize flour,mean,g,day,capita,69.23,40.8635812293663,97.5964187706337,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=GHA&lang=en,Discarded 1997-2000 number (81 g/day) and 2007 Nuss number (99 g/day) in lieu of 2017 GFDx number (69 g/day). All FAO balance sheet estimates.
207,Ghana,total population,wheat flour,mean,g,day,capita,86.36,56.13863807337897,116.58136192662103,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=GHA&lang=en,Discarded 2017 1997-2000 fortification handbook number estimated from fao (23 g/day) and 2010 Nyumuah survey number (0.8 g/day; this might be a misextraction for nutrient) in lieu of 2017 GFDx number (86 g/day)
181,Madagascar,total population,maize flour,mean,g,day,capita,33.86,19.986145607776148,47.73385439222385,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MDG&lang=en,Only one source.
181,Madagascar,total population,wheat flour,mean,g,day,capita,35.37,22.99239959072967,47.747600409270326,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MDG&lang=en,Discarded 1997-2000 fortification handbook number (12 g/day) in lieu of 2017 GFDx estimate (35 g/day). Both are FAO estimates.
213,Niger,total population,maize flour,mean,g,day,capita,10.63,6.274445593935631,14.98555440606437,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=NER&lang=en,Discarded 2007 Nuss number (8 g/day) in lieu of 2017 GFDx number (11 g/day). Both are FAO estimates
213,Niger,total population,wheat flour,mean,g,day,capita,11.45,7.443114936778477,15.456885063221522,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=NER&lang=en,Discarded 2017 1997-2000 fortification handbook number estimated from fao (10 g/day)in lieu of 2017 GFDx number (11 g/day)
522,Sudan,total population,maize flour,mean,g,day,capita,5.4,3.1873947513878087,7.6126052486121925,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=SDN&lang=en,Discarded 2007 Nuss number (6.7 g/day) in lieu of 2017 GFDx estimate (5.4 g/day). Both are FAO estimates.
522,Sudan,total population,wheat flour,mean,g,day,capita,123.45,80.24913003889108,166.65086996110892,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=SDN&lang=en,Discarded 1997-2000 fortification handbook number (69 g/day) in lieu of 2017 GFDx estimate (123 g/day). Both are FAO estimates.
