,location_id,location_name,nutrient,r,sub_population,u5_applicable,value_025_percentile,value_975_percentile,value_description,value_mean,vehicle,wra_applicable
0,179,Ethiopia,na,,,True,24.95031721,93.5773795,percent of population eating vehicle,59.26384836,maize flour,True
1,179,Ethiopia,na,,,True,11.43763208,42.89739601,percent of population eating industrially produced vehicle,27.16751404,maize flour,True
2,179,Ethiopia,folic acid,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,maize flour,True
3,179,Ethiopia,iron,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,maize flour,True
4,179,Ethiopia,vitamin a,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,maize flour,True
5,179,Ethiopia,zinc,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,maize flour,True
6,179,Ethiopia,na,,,True,27.3042463,31.3957537,percent of population eating vehicle,29.35,oil,True
7,179,Ethiopia,na,,under-5,True,64.07069101,75.92930899,percent of population eating industrially produced vehicle,70.0,oil,False
8,179,Ethiopia,na,,women of reproductive age,False,45.76477929,54.23522071,percent of population eating industrially produced vehicle,50.0,oil,True
9,179,Ethiopia,vitamin a,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,oil,True
10,179,Ethiopia,na,,,True,13.776167999999998,42.223832,percent of population eating vehicle,28.0,wheat flour,True
11,179,Ethiopia,na,,under-5,True,23.210993,30.789007,percent of population eating industrially produced vehicle,27.0,wheat flour,False
12,179,Ethiopia,na,,women of reproductive age,False,17.19332815,22.80667185,percent of population eating industrially produced vehicle,20.0,wheat flour,True
13,179,Ethiopia,folic acid,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,wheat flour,True
14,179,Ethiopia,iron,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,wheat flour,True
15,179,Ethiopia,vitamin a,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,wheat flour,True
16,179,Ethiopia,zinc,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,wheat flour,True
17,163,India,na,,0-24 months,True,99.0,100.0,percent of population eating vehicle,99.999,oil,True
18,163,India,na,,0-24 months,True,87.0,91.8,percent of population eating industrially produced vehicle,89.4,oil,True
19,163,India,vitamin a,,0-24 months,True,21.1,27.9,percent of population eating fortified vehicle,24.3,oil,True
20,163,India,na,,0-24 months,True,79.5,86.5,percent of population eating vehicle,83.2,wheat flour,True
21,163,India,na,,0-24 months,True,5.6,9.1,percent of population eating industrially produced vehicle,7.1,wheat flour,True
22,163,India,folic acid,,0-24 months,True,4.8,7.9,percent of population eating fortified vehicle,6.3,wheat flour,True
23,163,India,iron,,0-24 months,True,4.8,7.9,percent of population eating fortified vehicle,6.3,wheat flour,True
24,163,India,vitamin a,,,True,1.0496128,3.2170538669999997,percent of population eating fortified vehicle,2.133333333,wheat flour,True
25,163,India,zinc,,,True,1.0496128,3.2170538669999997,percent of population eating fortified vehicle,2.133333333,wheat flour,True
26,214,Nigeria,na,,total population,True,54.86711435,60.03347811,percent of population eating vehicle,57.41546151,maize flour,True
27,214,Nigeria,na,,total population,True,6.81619912,10.33991833,percent of population eating industrially produced vehicle,8.54322401,maize flour,True
28,214,Nigeria,folic acid,,total population,True,0.62702489,1.963058077,percent of population eating fortified vehicle,1.245041483,maize flour,True
29,214,Nigeria,iron,,,True,0.788636175,2.957818371,percent of population eating fortified vehicle,1.8732272730000001,maize flour,True
30,214,Nigeria,vitamin a,,total population,True,0.62702489,1.963058077,percent of population eating fortified vehicle,1.245041483,maize flour,True
31,214,Nigeria,zinc,,total population,True,0.62702489,1.963058077,percent of population eating fortified vehicle,1.245041483,maize flour,True
32,214,Nigeria,na,,total population,True,97.66066114,99.23033057,percent of population eating vehicle,98.46066114,oil,True
33,214,Nigeria,na,,total population,True,28.81768732,34.97504278,percent of population eating industrially produced vehicle,31.89636505,oil,True
34,214,Nigeria,vitamin a,,total population,True,5.778677729,9.248347161,percent of population eating fortified vehicle,7.478677729,oil,True
35,214,Nigeria,na,,total population,True,60.35959426,65.12926369,percent of population eating vehicle,62.75959426,wheat flour,True
36,214,Nigeria,na,,total population,True,60.19893313,64.93827199,percent of population eating industrially produced vehicle,62.56860256,wheat flour,True
37,214,Nigeria,folic acid,,total population,True,15.08644802,19.85851439,percent of population eating fortified vehicle,17.45281178,wheat flour,True
38,214,Nigeria,iron,,total population,True,15.08644802,19.85851439,percent of population eating fortified vehicle,17.45281178,wheat flour,True
39,214,Nigeria,vitamin a,,total population,True,15.08644802,19.85851439,percent of population eating fortified vehicle,17.45281178,wheat flour,True
40,214,Nigeria,zinc,,total population,True,15.08644802,19.85851439,percent of population eating fortified vehicle,17.45281178,wheat flour,True
41,161,Bangladesh,vitamin a,,,True,41.35621833,44.34292567,percent of population eating fortified vehicle,42.849571999999995,oil,True
42,161,Bangladesh,na,,total population,True,84.5,92.3,percent of population eating industrially produced vehicle,88.4,oil,True
43,161,Bangladesh,na,,total population,True,96.51489244,100.0,percent of population eating vehicle,100.0,oil,True
44,161,Bangladesh,folic acid,,,True,0.11628321800000001,0.195466782,percent of population eating fortified vehicle,0.155875,wheat flour,True
45,161,Bangladesh,iron,,,True,0.11628321800000001,0.195466782,percent of population eating fortified vehicle,0.155875,wheat flour,True
46,161,Bangladesh,vitamin a,,,True,0.11628321800000001,0.195466782,percent of population eating fortified vehicle,0.155875,wheat flour,True
47,161,Bangladesh,zinc,,,True,0.11628321800000001,0.195466782,percent of population eating fortified vehicle,0.155875,wheat flour,True
48,161,Bangladesh,na,,,True,28.52814944,47.95451722,percent of population eating industrially produced vehicle,38.24133333,wheat flour,True
49,161,Bangladesh,na,,women of reproductive age,False,31.25752576,52.54247424,percent of population eating vehicle,41.9,wheat flour,True
50,161,Bangladesh,na,,under-5,True,56.84542871,95.55457129,percent of population eating vehicle,76.2,wheat flour,False
51,165,Pakistan,vitamin a,,total population,True,0.0,29.48557955,percent of population eating fortified vehicle,28.49258241,oil,True
52,165,Pakistan,na,,total population,True,0.0,87.96234143,percent of population eating industrially produced vehicle,85.0,oil,True
53,165,Pakistan,na,,total population,True,100.0,100.0,percent of population eating vehicle,100.0,oil,True
54,165,Pakistan,folic acid,,,True,0.0,2.441114157,percent of population eating fortified vehicle,1.946666667,wheat flour,True
55,165,Pakistan,iron,,total population,True,0.0,4.791822827,percent of population eating fortified vehicle,3.82123947,wheat flour,True
56,165,Pakistan,vitamin a,,,True,0.0,0.0,percent of population eating fortified vehicle,0.0,wheat flour,True
57,165,Pakistan,zinc,,,True,0.0,2.441114157,percent of population eating fortified vehicle,1.946666667,wheat flour,True
58,165,Pakistan,na,,total population,True,0.0,52.07321072,percent of population eating industrially produced vehicle,41.52578577,wheat flour,True
59,165,Pakistan,na,,total population,True,100.0,100.0,percent of population eating vehicle,100.0,wheat flour,True
60,190,Uganda,vitamin a,,total population,True,48.3,60.4,percent of population eating fortified vehicle,54.4,oil,True
61,190,Uganda,na,,total population,True,84.7,93.2,percent of population eating industrially produced vehicle,89.0,oil,True
62,190,Uganda,na,,total population,True,85.9,94.0,percent of population eating vehicle,89.9,oil,True
63,190,Uganda,folic acid,,total population,True,5.7,11.4,percent of population eating fortified vehicle,8.5,wheat flour,True
64,190,Uganda,iron,,total population,True,5.7,11.4,percent of population eating fortified vehicle,8.5,wheat flour,True
65,190,Uganda,vitamin a,,total population,True,5.7,11.4,percent of population eating fortified vehicle,8.5,wheat flour,True
66,190,Uganda,zinc,,total population,True,5.7,11.4,percent of population eating fortified vehicle,8.5,wheat flour,True
67,190,Uganda,na,,total population,True,7.6,13.6,percent of population eating industrially produced vehicle,10.6,wheat flour,True
68,190,Uganda,na,,total population,True,7.7,14.7,percent of population eating vehicle,11.2,wheat flour,True
69,190,Uganda,folic acid,,total population,True,3.3,9.7,percent of population eating fortified vehicle,6.5,maize flour,True
70,190,Uganda,iron,,total population,True,3.3,9.7,percent of population eating fortified vehicle,6.5,maize flour,True
71,190,Uganda,vitamin a,,total population,True,3.3,9.7,percent of population eating fortified vehicle,6.5,maize flour,True
72,190,Uganda,zinc,,total population,True,3.3,9.7,percent of population eating fortified vehicle,6.5,maize flour,True
