location_name,vehicle,percent_of_population_eating_vehicle
Bangladesh,oil,95.0
Bangladesh,oil,95.0
Bangladesh,oil,89.0
Bangladesh,oil,89.0
Bangladesh,oil,75.0
Bangladesh,oil,75.0
Bangladesh,oil,51.0
Bangladesh,oil,51.0
Bangladesh,oil,59.0
Bangladesh,oil,59.0
Bangladesh,oil,68.0
Bangladesh,oil,68.0
Bangladesh,oil,76.0
Bangladesh,oil,76.0
Bangladesh,oil,100.0
Bangladesh,oil,100.0
Bangladesh,oil,99.8
Bangladesh,oil,99.8
Bangladesh,oil,95.0
Bangladesh,oil,95.0
Bangladesh,oil,89.0
Bangladesh,oil,89.0
Bangladesh,oil,75.0
Bangladesh,oil,75.0
Bangladesh,oil,51.0
Bangladesh,oil,51.0
Bangladesh,oil,59.0
Bangladesh,oil,59.0
Bangladesh,oil,68.0
Bangladesh,oil,68.0
Bangladesh,oil,76.0
Bangladesh,oil,76.0
Bangladesh,oil,100.0
Bangladesh,oil,100.0
Bangladesh,oil,99.8
Bangladesh,oil,99.8
Bangladesh,oil,95.0
Bangladesh,oil,95.0
Bangladesh,oil,89.0
Bangladesh,oil,89.0
Bangladesh,oil,75.0
Bangladesh,oil,75.0
Bangladesh,oil,51.0
Bangladesh,oil,51.0
Bangladesh,oil,59.0
Bangladesh,oil,59.0
Bangladesh,oil,68.0
Bangladesh,oil,68.0
Bangladesh,oil,76.0
Bangladesh,oil,76.0
Bangladesh,oil,100.0
Bangladesh,oil,100.0
Bangladesh,oil,99.8
Bangladesh,oil,99.8
Côte d'Ivoire,oil,98.5
Côte d'Ivoire,oil,98.5
Côte d'Ivoire,oil,98.5
Côte d'Ivoire,oil,98.5
Ethiopia,oil,55.0
Ethiopia,oil,55.0
Ethiopia,oil,3.7
Ethiopia,oil,3.7
Ethiopia,oil,55.0
Ethiopia,oil,55.0
Ethiopia,oil,3.7
Ethiopia,oil,3.7
Ethiopia,oil,55.0
Ethiopia,oil,55.0
Ethiopia,oil,3.7
Ethiopia,oil,3.7
Ethiopia,oil,55.0
Ethiopia,oil,55.0
Ethiopia,oil,3.7
Ethiopia,oil,3.7
Ethiopia,oil,55.0
Ethiopia,oil,55.0
Ethiopia,oil,3.7
Ethiopia,oil,3.7
Ethiopia,oil,55.0
Ethiopia,oil,55.0
Ethiopia,oil,3.7
Ethiopia,oil,3.7
India,oil,100.0
India,oil,100.0
Kenya,oil,16.17
Kenya,oil,6.0
Kenya,oil,16.0
Kenya,oil,7.0
Kenya,oil,12.0
Kenya,oil,38.0
Kenya,oil,45.0
Kenya,oil,60.0
Kenya,oil,70.0
Kenya,oil,72.0
Kenya,oil,9.0
Kenya,oil,18.0
Kenya,oil,17.0
Myanmar,oil,50.0
Myanmar,oil,50.0
Nepal,oil,99.8
Nepal,oil,99.8
Nepal,oil,100.0
Nepal,oil,100.0
Nigeria,oil,98.6
Nigeria,oil,98.6
Nigeria,oil,98.6
Nigeria,oil,98.4
Nigeria,oil,98.4
Nigeria,oil,98.4
Nigeria,oil,98.6
Nigeria,oil,98.6
Nigeria,oil,98.6
Nigeria,oil,98.4
Nigeria,oil,98.4
Nigeria,oil,98.4
Nigeria,oil,98.6
Nigeria,oil,98.6
Nigeria,oil,98.6
Nigeria,oil,98.4
Nigeria,oil,98.4
Nigeria,oil,98.4
Pakistan,oil,100.0
Pakistan,oil,100.0
Pakistan,oil,100.0
Pakistan,oil,100.0
Pakistan,oil,100.0
Pakistan,oil,100.0
South Africa,oil,99.0148767944349
Sudan,oil,82.31215479656298
Sudan,oil,82.31215479656298
Uganda,oil,89.9
Uganda,oil,89.9
Uganda,oil,89.9
Uganda,oil,89.9
United Republic of Tanzania,oil,96.2
United Republic of Tanzania,oil,96.2
United Republic of Tanzania,oil,96.2
United Republic of Tanzania,oil,96.2
Viet Nam,oil,91.5
Viet Nam,oil,89.4
Viet Nam,oil,38.3
Viet Nam,oil,45.8
Viet Nam,oil,28.9
Viet Nam,oil,41.5
Viet Nam,oil,43.8
Viet Nam,oil,33.6
Viet Nam,oil,93.9
Burkina Faso,oil,92.23
Burkina Faso,oil,92.23
Burkina Faso,oil,92.23
Burkina Faso,oil,30.2
Burkina Faso,oil,30.2
Burkina Faso,oil,30.2
Burkina Faso,oil,16.1
Burkina Faso,oil,16.1
Burkina Faso,oil,16.1
Burkina Faso,oil,54.0
Burkina Faso,oil,54.0
Burkina Faso,oil,54.0
Burkina Faso,oil,52.0
Burkina Faso,oil,52.0
Burkina Faso,oil,52.0
Cameroon,oil,82.6
Cameroon,oil,82.6
Cameroon,oil,54.1
Cameroon,oil,54.1
Cameroon,oil,40.7
Cameroon,oil,40.7
Cameroon,oil,54.5
Cameroon,oil,54.5
Cameroon,oil,54.0
Cameroon,oil,54.0
Cameroon,oil,53.1
Cameroon,oil,53.1
Cameroon,oil,82.4
Cameroon,oil,82.4
Cameroon,oil,93.6
Cameroon,oil,93.6
Cameroon,oil,81.2
Cameroon,oil,81.2
Cameroon,oil,91.7
Cameroon,oil,91.7
Democratic Republic of the Congo,oil,97.3
Democratic Republic of the Congo,oil,97.3
Democratic Republic of the Congo,oil,95.6
Democratic Republic of the Congo,oil,95.6
Democratic Republic of the Congo,oil,98.1
Democratic Republic of the Congo,oil,98.1
Democratic Republic of the Congo,oil,88.41
Democratic Republic of the Congo,oil,88.41
Democratic Republic of the Congo,oil,100.0
Democratic Republic of the Congo,oil,100.0
Mozambique,oil,95.2
Mozambique,oil,98.0
Ghana,oil,98.0
Ghana,oil,98.0
Ghana,oil,98.0
Ghana,oil,98.0
Ghana,oil,94.7
Ghana,oil,94.7
Ghana,oil,94.7
Ghana,oil,94.7
Ghana,oil,96.8
Ghana,oil,96.8
Ghana,oil,96.8
Ghana,oil,96.8
Ghana,oil,95.6
Ghana,oil,95.6
Ghana,oil,95.6
Ghana,oil,95.6
Niger,oil,85.0
Niger,oil,85.0
Niger,oil,85.0
Niger,oil,98.0
Niger,oil,98.0
Niger,oil,98.0
Niger,oil,76.0
Niger,oil,76.0
Niger,oil,76.0
Indonesia,oil,93.09320428356676
Egypt,oil,68.15255390655533
Angola,oil,94.80566367136697
Madagascar,oil,78.06376195167611
China,oil,81.29157487516967
