rank_2013,country,bmgf_2013_paper_survey_year,bmgf_2013_paper_percent_stunting,location_id,location_name
1,India,2005-06,47.9,163,India
2,Nigeria,2008,41.0,214,Nigeria
3,Pakistan,2011,43.0,165,Pakistan
4,Indonesia,2010,39.2,11,Indonesia
5,Bangladesh,2007,43.2,161,Bangladesh
6,Ethiopia,2010-11,44.2,179,Ethiopia
7,Democratic Republic of the Congo,2010,43.4,171,Democratic Republic of the Congo
8,Philippines,2008,32.3,16,Philippines
9,Tanzania,2009-10,42.5,189,United Republic of Tanzania
10,Afghanistan,2004,39.3,160,Afghanistan
11,Egypt,2008,30.7,141,Egypt
12,Sudan,2006,37.9,522,Sudan
13,Kenya,2008-09,35.2,180,Kenya
14,Uganda,2006,38.7,190,Uganda
15,Viet Nam,2008,30.5,20,Viet Nam
16,Yemen,2003,57.7,157,Yemen
17,Mozambique,2008,43.7,184,Mozambique
18,Madagascar,2003-04,52.8,181,Madagascar
19,Niger,2003-04,52.8,213,Niger
20,Nepal,2006,54.8,164,Nepal
21,Myanmar,2009-10,35.1,15,Myanmar
22,Malawi,2010,47.8,182,Malawi
23,Iraq,2006,27.5,143,Iraq
24,South Africa,2008,23.9,196,South Africa
25,Cote d'Ivoire,2007,39.0,205,Côte d'Ivoire
26,Guatemala,2008-09,48.0,128,Guatemala
27,Burkina Faso,2009,35.1,201,Burkina Faso
28,Cameroon,2011,32.5,202,Cameroon
29,Zambia,2007,45.8,191,Zambia
30,Ghana,2008,28.6,207,Ghana
31,Angola,2007,29.2,168,Angola
32,Rwanda,2010-11,44.3,185,Rwanda
33,Mali,2010,27.8,211,Mali
34,Chad,2010,38.8,204,Chad
