rank_2019_all,location_name,location_id,stunting_prevalence,population_under_5,number_stunted,cumulative_number_stunted,cum_percent_global_stunted_pop,stunting_above_20_percent,rank_2019_among_stunting_above_20_percent,cum_percent_global_stunted_pop_among_stunting_above_20_percent,stunting_above_18_percent,rank_2019_among_stunting_above_18_percent,cum_percent_global_stunted_pop_among_stunting_above_18_percent,rank_2013,country,bmgf_2013_paper_survey_year,bmgf_2013_paper_percent_stunting
1,India,163,0.3988654406839208,117070761.3035963,46695480.798561044,46695480.798561044,26.4,True,1,26.4,True,1,26.4,1.0,India,2005-06,47.9
2,Pakistan,165,0.4196055396347128,30526483.028257385,12809081.384221843,59504562.18278289,33.6,True,2,33.6,True,2,33.6,3.0,Pakistan,2011,43.0
3,Nigeria,214,0.3657385384428866,33521637.830718093,12260154.826418612,71764717.0092015,40.6,True,3,40.6,True,3,40.6,2.0,Nigeria,2008,41.0
5,Ethiopia,179,0.4042139532730084,16679669.900855575,6742155.30991364,87512794.5215353,49.5,True,4,44.4,True,4,44.4,6.0,Ethiopia,2010-11,44.2
6,Indonesia,11,0.3417804239849557,19706353.680997606,6735245.916288854,94248040.43782416,53.3,True,5,48.2,True,5,48.2,4.0,Indonesia,2010,39.2
7,Bangladesh,161,0.3987966718453745,13745911.729064621,5481823.849031268,99729864.28685543,56.4,True,6,51.3,True,6,51.3,5.0,Bangladesh,2007,43.2
8,Democratic Republic of the Congo,171,0.37622650566357924,13629465.151944442,5127766.048179582,104857630.33503501,59.3,True,7,54.2,True,7,54.2,7.0,Democratic Republic of the Congo,2010,43.4
9,Philippines,16,0.3009186920190585,12654308.899082517,3807918.0823170436,108665548.41735205,61.4,True,8,56.3,True,8,56.3,8.0,Philippines,2008,32.3
10,United Republic of Tanzania,189,0.39421698130271116,9307276.963743828,3669086.628795355,112334635.0461474,63.5,True,9,58.4,True,9,58.4,9.0,Tanzania,2009-10,42.5
11,Afghanistan,160,0.504491285541596,6645140.577422266,3352415.512508382,115687050.55865578,65.4,True,10,60.3,True,10,60.3,10.0,Afghanistan,2004,39.3
12,Niger,213,0.4682176514470417,4852863.614130893,2272196.4042011695,117959246.96285695,66.7,True,11,61.6,True,11,61.6,19.0,Niger,2003-04,52.8
13,Uganda,190,0.3110063495884017,7089749.815962385,2204957.209757504,120164204.17261446,67.9,True,12,62.8,True,12,62.8,14.0,Uganda,2006,38.7
14,Yemen,157,0.45188326286182406,4448170.432780626,2010053.7689304014,122174257.94154486,69.1,True,13,64.0,True,13,64.0,16.0,Yemen,2003,57.7
16,Sudan,522,0.3586076488629842,5512746.8695767615,1976913.1936756985,126138290.95275031,71.3,True,14,65.1,True,15,66.2,12.0,Sudan,2006,37.9
17,Angola,168,0.38124033683807634,5147150.259388045,1962301.2986452905,128100592.2513956,72.4,True,15,66.2,True,16,67.3,31.0,Angola,2007,29.2
18,Kenya,180,0.29963893591494084,6416042.78165943,1922496.2318811687,130023088.48327677,73.5,True,16,67.3,True,17,68.4,13.0,Kenya,2008-09,35.2
19,Madagascar,181,0.4793465107880188,3939181.5160302985,1888232.915069782,131911321.39834656,74.6,True,17,68.4,True,18,69.5,18.0,Madagascar,2003-04,52.8
20,Mozambique,184,0.3535578500484878,5105036.169746524,1804925.612595348,133716247.01094191,75.6,True,18,69.4,True,19,70.5,17.0,Mozambique,2008,43.7
21,Viet Nam,20,0.25850871250820806,6937448.797869344,1793390.9568288198,135509637.96777073,76.6,True,19,70.4,True,20,71.5,15.0,Viet Nam,2008,30.5
23,Myanmar,15,0.28792376659358504,5018670.1614699215,1444994.4161812554,138428064.02487868,78.2,True,20,71.2,True,21,72.3,21.0,Myanmar,2009-10,35.1
24,Cameroon,202,0.3202850821704491,4207109.249479896,1347474.331669725,139775538.3565484,79.0,True,21,72.0,True,22,73.1,28.0,Cameroon,2011,32.5
25,Burkina Faso,201,0.3243619605528538,4044957.3108162545,1312030.2836889597,141087568.64023736,79.8,True,22,72.7,True,23,73.8,27.0,Burkina Faso,2009,35.1
27,Chad,204,0.3839044831653433,3332666.5615817406,1279425.63388646,143673837.19060925,81.2,True,23,73.4,True,24,74.6,34.0,Chad,2010,38.8
28,Zambia,191,0.43820811498279416,2819352.3660711898,1235463.0858083367,144909300.27641758,81.9,True,24,74.1,True,25,75.2,29.0,Zambia,2007,45.8
29,Côte d'Ivoire,205,0.2998634852449111,4011998.5216548587,1203051.8595008568,146112352.13591844,82.6,True,25,74.8,True,26,75.9,25.0,Cote d'Ivoire,2007,39.0
