,model_version_id,covariate_id,covariate_name_short,location_id,location_name,year_id,age_group_id,age_group_name,sex_id,sex,mean_value,lower_value,upper_value
0,32394,2267,stillbirth_livebirth_ratio,11,Indonesia,2019,22,All Ages,3,Both,0.00784056624071145,0.00784056624071145,0.00784056624071145
1,32394,2267,stillbirth_livebirth_ratio,15,Myanmar,2019,22,All Ages,3,Both,0.00962591897076173,0.00962591897076173,0.00962591897076173
2,32394,2267,stillbirth_livebirth_ratio,20,Viet Nam,2019,22,All Ages,3,Both,0.00551259418589453,0.00551259418589453,0.00551259418589453
3,32394,2267,stillbirth_livebirth_ratio,161,Bangladesh,2019,22,All Ages,3,Both,0.014447125652181,0.014447125652181,0.014447125652181
4,32394,2267,stillbirth_livebirth_ratio,163,India,2019,22,All Ages,3,Both,0.0150895444492101,0.0150895444492101,0.0150895444492101
5,32394,2267,stillbirth_livebirth_ratio,164,Nepal,2019,22,All Ages,3,Both,0.0147507874305232,0.0147507874305232,0.0147507874305232
6,32394,2267,stillbirth_livebirth_ratio,165,Pakistan,2019,22,All Ages,3,Both,0.0207003158486502,0.0207003158486502,0.0207003158486502
7,32394,2267,stillbirth_livebirth_ratio,171,Democratic Republic of the Congo,2019,22,All Ages,3,Both,0.0179272545550467,0.0179272545550467,0.0179272545550467
8,32394,2267,stillbirth_livebirth_ratio,179,Ethiopia,2019,22,All Ages,3,Both,0.0125468212858242,0.0125468212858242,0.0125468212858242
9,32394,2267,stillbirth_livebirth_ratio,180,Kenya,2019,22,All Ages,3,Both,0.0179776996135393,0.0179776996135393,0.0179776996135393
10,32394,2267,stillbirth_livebirth_ratio,184,Mozambique,2019,22,All Ages,3,Both,0.0179370781751462,0.0179370781751462,0.0179370781751462
11,32394,2267,stillbirth_livebirth_ratio,189,United Republic of Tanzania,2019,22,All Ages,3,Both,0.0157059152950685,0.0157059152950685,0.0157059152950685
12,32394,2267,stillbirth_livebirth_ratio,190,Uganda,2019,22,All Ages,3,Both,0.0157294754652458,0.0157294754652458,0.0157294754652458
13,32394,2267,stillbirth_livebirth_ratio,196,South Africa,2019,22,All Ages,3,Both,0.0104110135055028,0.0104110135055028,0.0104110135055028
14,32394,2267,stillbirth_livebirth_ratio,201,Burkina Faso,2019,22,All Ages,3,Both,0.0114281573817005,0.0114281573817005,0.0114281573817005
15,32394,2267,stillbirth_livebirth_ratio,202,Cameroon,2019,22,All Ages,3,Both,0.0134592361106606,0.0134592361106606,0.0134592361106606
16,32394,2267,stillbirth_livebirth_ratio,205,Côte d'Ivoire,2019,22,All Ages,3,Both,0.0165045865561441,0.0165045865561441,0.0165045865561441
17,32394,2267,stillbirth_livebirth_ratio,214,Nigeria,2019,22,All Ages,3,Both,0.0266858681860976,0.0266858681860976,0.0266858681860976
