,Location name,Baseline Prevalence of anemia (per 100) among WRA,Baseline Prevalence of iron deficiency anemia (per 100) among WRA,Baseline Number with iron deficiency anemia (1000s) among WRA,Baseline DALYs attributable to iron deficiency (1000s) among WRA,"Baseline DALYs attributable to iron deficiency per person-year (x 100,000) among WRA",Baseline Prevalence of anemia (per 100) among Children U5,Baseline Prevalence of iron deficiency anemia (per 100) among Children U5,Baseline Number with iron deficiency anemia (1000s) among Children U5,Baseline DALYs attributable to iron deficiency (1000s) among Children U5,"Baseline DALYs attributable to iron deficiency per person-year (x 100,000) among Children U5",Percent of population eating iron fortified maize flour at baseline,Percent of population eating iron fortified maize flour: 20% scale-up,Percent of population eating iron fortified maize flour: 50% scale-up,Percent of population eating iron fortified maize flour: 80% scale-up,Percent of population eating iron fortified wheat flour at baseline,Percent of population eating iron fortified wheat flour: 20% scale-up,Percent of population eating iron fortified wheat flour: 50% scale-up,Percent of population eating iron fortified wheat flour: 80% scale-up,"Iron in maize flour DALYs averted per 100,000 person-years: 20% scale-up","Iron in maize flour DALYs averted per 100,000 person-years: 50% scale-up","Iron in maize flour DALYs averted per 100,000 person-years: 80% scale-up",Iron in maize flour DALYs averted: 20% scale-up,Iron in maize flour DALYs averted: 50% scale-up,Iron in maize flour DALYs averted: 80% scale-up,Iron in maize flour PIF (percent): 20% scale-up,Iron in maize flour PIF (percent): 50% scale-up,Iron in maize flour PIF (percent): 80% scale-up,"Iron in wheat flour DALYs averted per 100,000 person-years: 20% scale-up","Iron in wheat flour DALYs averted per 100,000 person-years: 50% scale-up","Iron in wheat flour DALYs averted per 100,000 person-years: 80% scale-up",Iron in wheat flour DALYs averted: 20% scale-up,Iron in wheat flour DALYs averted: 50% scale-up,Iron in wheat flour DALYs averted: 80% scale-up,Iron in wheat flour PIF (percent): 20% scale-up,Iron in wheat flour PIF (percent): 50% scale-up,Iron in wheat flour PIF (percent): 80% scale-up
0,Angola,"31.3
(26.6, 36.5)","17.9
(14.9, 21.3)","2,989
(2,529, 3,479)","79
(50, 114)","828
(522, 1,190)","54.7
(47.7, 61.7)","45.1
(38.7, 51.8)","2,815
(2,455, 3,177)","66
(39, 102)","1,274
(762, 1,976)","7.7
(1.1, 15.1)","8.3
(1.5, 15.8)","9.2
(2.0, 16.7)","10.0
(2.6, 17.6)","16.8
(8.4, 24.9)","18.7
(9.3, 27.6)","21.5
(10.7, 31.8)","24.3
(12.1, 35.9)","4
(1, 9)","7
(1, 14)","10
(2, 19)","532
(110, 1,285)","967
(184, 2,038)","1,398
(245, 2,838)","0.2
(0.0, 0.4)","0.5
(0.0, 1.1)","0.8
(0.0, 1.7)","9
(2, 18)","17
(2, 36)","26
(3, 55)","1,274
(242, 2,585)","2,562
(355, 5,271)","3,841
(455, 8,047)","0.7
(0.0, 1.6)","1.6
(0.0, 4.1)","2.6
(0.0, 6.5)"
1,Bangladesh,"32.1
(27.5, 36.8)","25.6
(21.4, 29.9)","18,050
(15,381, 20,670)","455
(302, 662)","809
(538, 1,178)","47.4
(38.4, 57.2)","42.5
(34.1, 51.6)","6,515
(5,285, 7,865)","141
(80, 227)","1,027
(584, 1,653)",Not modeled,Not modeled,Not modeled,Not modeled,"0.2
(0.1, 0.2)","7.8
(5.9, 9.8)","19.2
(14.6, 24.3)","30.7
(23.2, 38.7)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"27
(6, 48)","58
(10, 109)","88
(12, 168)","18,764
(4,417, 33,762)","40,338
(6,966, 76,379)","61,281
(8,841, 117,188)","2.7
(0.0, 6.1)","6.5
(0.1, 14.8)","10.3
(0.1, 23.1)"
2,Burkina Faso,"43.1
(38.4, 48.0)","23.1
(17.2, 30.0)","3,090
(2,752, 3,440)","90
(56, 133)","1,250
(781, 1,857)","85.6
(81.6, 88.9)","67.1
(60.7, 75.2)","3,462
(3,300, 3,597)","120
(80, 176)","2,975
(1,973, 4,354)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","17.6
(8.3, 27.5)","24.7
(11.6, 38.5)","35.3
(16.5, 55.0)","45.8
(21.5, 71.5)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","38
(7, 79)","82
(11, 180)","126
(12, 279)","4,209
(801, 8,811)","9,204
(1,167, 20,090)","14,068
(1,460, 31,296)","1.8
(0.0, 4.6)","4.5
(0.1, 11.3)","7.1
(0.1, 17.8)"
3,Cameroon,"31.5
(27.5, 35.3)","17.7
(14.4, 21.1)","3,004
(2,631, 3,370)","93
(58, 133)","972
(608, 1,393)","55.4
(48.8, 61.6)","43.3
(36.9, 50.0)","2,329
(2,051, 2,590)","53
(33, 80)","1,248
(780, 1,906)","5.2
(2.2, 8.2)","6.5
(2.7, 10.3)","8.4
(3.5, 13.3)","10.4
(4.3, 16.4)","52.7
(36.2, 69.5)","57.5
(42.3, 73.0)","64.7
(48.5, 79.5)","71.9
(52.2, 89.4)","5
(1, 11)","11
(1, 23)","17
(1, 36)","729
(118, 1,509)","1,531
(153, 3,200)","2,330
(199, 4,999)","0.5
(0.0, 1.1)","1.1
(0.0, 2.8)","1.8
(0.0, 4.4)","20
(4, 47)","41
(5, 106)","61
(6, 163)","2,773
(498, 6,563)","5,656
(682, 14,526)","8,426
(862, 22,476)","1.7
(0.0, 5.2)","4.2
(0.0, 12.7)","6.6
(0.0, 20.0)"
4,China,"10.5
(9.2, 11.8)","7.3
(6.2, 8.4)","46,929
(41,047, 52,598)","908
(602, 1,288)","204
(135, 289)","9.5
(7.7, 11.4)","7.5
(5.9, 9.2)","7,720
(6,242, 9,318)","126
(71, 199)","155
(87, 245)",Not modeled,Not modeled,Not modeled,Not modeled,"6.3
(3.1, 9.5)","15.6
(7.7, 23.7)","29.6
(14.5, 44.9)","43.6
(21.4, 66.1)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"7
(1, 15)","16
(1, 35)","24
(1, 53)","36,807
(4,118, 80,114)","84,332
(5,649, 185,888)","128,773
(7,249, 280,732)","3.3
(0.0, 8.1)","8.1
(0.1, 19.2)","12.5
(0.2, 29.3)"
5,Côte d'Ivoire,"42.6
(38.5, 46.4)","22.2
(18.3, 25.9)","3,474
(3,143, 3,792)","97
(62, 137)","1,182
(762, 1,671)","74.8
(69.0, 80.6)","57.6
(51.4, 62.7)","3,000
(2,767, 3,233)","75
(48, 113)","1,861
(1,191, 2,812)","6.7
(2.7, 10.7)","7.2
(2.9, 11.4)","7.9
(3.2, 12.6)","8.6
(3.5, 13.7)","10.3
(5.6, 15.1)","10.6
(6.0, 15.3)","10.9
(6.5, 15.5)","11.3
(7.1, 15.7)","2
(0, 5)","5
(0, 11)","8
(1, 17)","290
(39, 628)","630
(52, 1,379)","969
(68, 2,133)","0.2
(0.0, 0.4)","0.4
(0.0, 1.0)","0.6
(0.0, 1.6)","2
(0, 3)","3
(0, 7)","5
(1, 10)","212
(38, 426)","409
(55, 817)","607
(74, 1,211)","0.1
(0.0, 0.2)","0.2
(0.0, 0.5)","0.3
(0.0, 0.8)"
6,Democratic Republic of the Congo,"38.8
(34.7, 43.4)","21.5
(17.8, 25.0)","10,685
(9,544, 11,954)","338
(221, 475)","1,229
(803, 1,725)","60.1
(54.5, 65.8)","46.4
(40.8, 52.2)","8,195
(7,431, 8,970)","193
(123, 284)","1,413
(899, 2,081)","0.0
(0.0, 0.0)","0.5
(0.3, 0.6)","1.1
(0.9, 1.4)","1.8
(1.4, 2.2)","0.0
(0.0, 0.0)","0.1
(0.1, 0.2)","0.3
(0.2, 0.4)","0.5
(0.3, 0.6)","2
(0, 3)","4
(0, 8)","6
(0, 13)","725
(88, 1,416)","1,679
(127, 3,350)","2,619
(165, 5,253)","0.2
(0.0, 0.3)","0.4
(0.0, 0.9)","0.6
(0.0, 1.4)","0
(0, 1)","1
(0, 2)","2
(0, 3)","185
(27, 361)","426
(42, 875)","667
(46, 1,386)","0.0
(0.0, 0.1)","0.1
(0.0, 0.2)","0.2
(0.0, 0.4)"
7,Egypt,"21.8
(18.2, 25.7)","16.0
(13.0, 19.3)","6,961
(5,808, 8,211)","137
(92, 203)","427
(287, 637)","28.0
(22.3, 34.3)","24.0
(18.8, 29.8)","3,035
(2,410, 3,713)","53
(30, 85)","485
(274, 783)","0.0
(0.0, 0.0)","6.4
(2.9, 10.2)","16.1
(7.2, 25.6)","25.8
(11.4, 40.9)","15.9
(7.7, 23.8)","26.3
(13.1, 38.2)","41.9
(21.2, 59.8)","57.4
(29.2, 81.4)","13
(1, 28)","29
(2, 65)","44
(3, 100)","5,398
(629, 11,992)","12,333
(914, 27,966)","18,986
(1,042, 42,917)","2.6
(0.0, 6.6)","6.4
(0.1, 16.0)","10.1
(0.1, 24.7)","27
(7, 50)","54
(10, 103)","78
(12, 150)","11,726
(2,913, 21,578)","23,003
(4,277, 44,098)","33,237
(5,095, 64,180)","4.2
(0.0, 9.8)","10.2
(0.1, 23.2)","15.8
(0.2, 35.3)"
8,Ethiopia,"20.5
(18.9, 22.2)","15.1
(13.6, 16.7)","7,078
(6,517, 7,668)","270
(183, 381)","783
(530, 1,104)","57.5
(54.9, 60.1)","52.7
(50.1, 55.3)","9,599
(9,151, 10,030)","293
(196, 437)","1,757
(1,175, 2,622)","0.0
(0.0, 0.0)","5.4
(2.1, 8.4)","13.4
(5.1, 21.0)","21.4
(8.2, 33.5)","0.0
(0.0, 0.0)","5.4
(4.7, 6.2)","13.5
(11.6, 15.4)","21.5
(18.6, 24.6)","20
(5, 42)","39
(7, 83)","59
(10, 124)","10,228
(2,770, 21,175)","20,173
(3,509, 42,555)","29,970
(4,783, 63,328)","1.3
(0.0, 3.2)","3.2
(0.0, 8.0)","5.0
(0.1, 12.6)","19
(7, 31)","36
(10, 65)","53
(13, 96)","9,656
(3,686, 15,915)","18,544
(5,375, 33,126)","27,204
(6,365, 50,042)","1.1
(0.0, 2.5)","2.8
(0.0, 6.2)","4.4
(0.0, 9.7)"
9,Ghana,"40.7
(36.2, 45.4)","24.5
(20.2, 28.9)","4,461
(3,966, 4,987)","109
(72, 155)","989
(657, 1,414)","66.1
(58.9, 72.6)","54.0
(47.0, 60.3)","2,623
(2,337, 2,883)","68
(43, 103)","1,711
(1,079, 2,601)","4.0
(1.6, 6.4)","5.5
(2.2, 8.7)","7.8
(3.1, 12.3)","10.0
(4.0, 15.9)","17.1
(7.6, 25.7)","23.4
(10.4, 35.2)","32.9
(14.6, 49.5)","42.3
(18.8, 63.7)","6
(1, 13)","14
(1, 32)","21
(1, 51)","882
(97, 1,973)","2,047
(151, 4,785)","3,206
(199, 7,582)","0.5
(0.0, 1.3)","1.2
(0.0, 3.2)","2.0
(0.0, 5.1)","30
(7, 60)","63
(9, 136)","95
(13, 211)","4,410
(1,034, 8,894)","9,353
(1,348, 20,337)","14,174
(1,958, 31,486)","2.1
(0.0, 5.2)","5.2
(0.0, 12.8)","8.2
(0.0, 20.1)"
