,Location name,Baseline Prevalence of Vitamin A deficiency in age group Under 5 (per 100),Baseline Number in age group Under 5 with Vitamin A deficiency (1000s),Baseline DALYs attributable to Vitamin A deficiency in age group Under 5 (1000s),"Baseline DALYs attributable to Vitamin A deficiency per 100,000 person-years in age group Under 5",Percent of population eating vitamin a fortified maize flour at baseline,Percent of population eating vitamin a fortified maize flour: 20% scale-up,Percent of population eating vitamin a fortified maize flour: 50% scale-up,Percent of population eating vitamin a fortified maize flour: 80% scale-up,Percent of population eating vitamin a fortified oil at baseline,Percent of population eating vitamin a fortified oil: 20% scale-up,Percent of population eating vitamin a fortified oil: 50% scale-up,Percent of population eating vitamin a fortified oil: 80% scale-up,Percent of population eating vitamin a fortified wheat flour at baseline,Percent of population eating vitamin a fortified wheat flour: 20% scale-up,Percent of population eating vitamin a fortified wheat flour: 50% scale-up,Percent of population eating vitamin a fortified wheat flour: 80% scale-up,"Vitamin A in industry oil DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in industry oil DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in industry oil DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in industry oil DALYs averted: 20% scale-up,Vitamin A in industry oil DALYs averted: 50% scale-up,Vitamin A in industry oil DALYs averted: 80% scale-up,Vitamin A in industry oil PIF (percent): 20% scale-up,Vitamin A in industry oil PIF (percent): 50% scale-up,Vitamin A in industry oil PIF (percent): 80% scale-up,Vitamin A in industry oil vitamin A deficiency prevalence 20% scale-up,Vitamin A in industry oil vitamin A deficiency prevalence 50% scale-up,Vitamin A in industry oil vitamin A deficiency prevalence 80% scale-up,"Vitamin A in maize flour DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in maize flour DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in maize flour DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in maize flour DALYs averted: 20% scale-up,Vitamin A in maize flour DALYs averted: 50% scale-up,Vitamin A in maize flour DALYs averted: 80% scale-up,Vitamin A in maize flour PIF (percent): 20% scale-up,Vitamin A in maize flour PIF (percent): 50% scale-up,Vitamin A in maize flour PIF (percent): 80% scale-up,Vitamin A in maize flour vitamin A deficiency prevalence 20% scale-up,Vitamin A in maize flour vitamin A deficiency prevalence 50% scale-up,Vitamin A in maize flour vitamin A deficiency prevalence 80% scale-up,"Vitamin A in oil DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in oil DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in oil DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in oil DALYs averted: 20% scale-up,Vitamin A in oil DALYs averted: 50% scale-up,Vitamin A in oil DALYs averted: 80% scale-up,Vitamin A in oil PIF (percent): 20% scale-up,Vitamin A in oil PIF (percent): 50% scale-up,Vitamin A in oil PIF (percent): 80% scale-up,Vitamin A in oil vitamin A deficiency prevalence 20% scale-up,Vitamin A in oil vitamin A deficiency prevalence 50% scale-up,Vitamin A in oil vitamin A deficiency prevalence 80% scale-up,"Vitamin A in wheat flour DALYs averted per 100,000 person-years: 20% scale-up","Vitamin A in wheat flour DALYs averted per 100,000 person-years: 50% scale-up","Vitamin A in wheat flour DALYs averted per 100,000 person-years: 80% scale-up",Vitamin A in wheat flour DALYs averted: 20% scale-up,Vitamin A in wheat flour DALYs averted: 50% scale-up,Vitamin A in wheat flour DALYs averted: 80% scale-up,Vitamin A in wheat flour PIF (percent): 20% scale-up,Vitamin A in wheat flour PIF (percent): 50% scale-up,Vitamin A in wheat flour PIF (percent): 80% scale-up,Vitamin A in wheat flour vitamin A deficiency prevalence 20% scale-up,Vitamin A in wheat flour vitamin A deficiency prevalence 50% scale-up,Vitamin A in wheat flour vitamin A deficiency prevalence 80% scale-up
0,Angola,"26.4
(18.4, 36.9)","1,358
(947, 1,899)","35.8
(9.0, 68.7)","695
(174, 1,335)","7.7
(1.1, 15.1)","8.3
(1.5, 15.8)","9.2
(2.0, 16.7)","10.0
(2.6, 17.6)","8.8
(8.2, 9.4)","14.8
(13.8, 15.8)","23.9
(22.2, 25.5)","33.0
(30.6, 35.2)","16.9
(7.9, 26.1)","18.8
(8.8, 29.0)","21.6
(10.1, 33.4)","24.4
(11.4, 37.7)","38
(-3, 96)","96
(-7, 240)","154
(-12, 385)","1,980
(-153, 4,949)","4,950
(-383, 12,371)","7,920
(-613, 19,794)","5.5
(-0.5, 9.8)","13.9
(-1.1, 24.5)","22.2
(-1.8, 39.2)","24.7
(17.2, 35.0)","22.2
(15.1, 32.4)","19.8
(12.7, 31.1)","2
(-0, 4)","4
(-0, 10)","7
(-0, 16)","86
(-6, 212)","214
(-14, 531)","342
(-23, 849)","0.2
(-0.0, 0.4)","0.6
(-0.0, 1.0)","1.0
(-0.1, 1.7)","26.3
(18.4, 36.8)","26.2
(18.3, 36.7)","26.1
(18.3, 36.5)","18
(-1, 44)","44
(-3, 111)","71
(-5, 178)","913
(-69, 2,288)","2,283
(-172, 5,720)","3,653
(-274, 9,152)","2.6
(-0.2, 4.3)","6.4
(-0.5, 10.8)","10.2
(-0.8, 17.2)","25.6
(18.0, 35.9)","24.5
(17.0, 34.9)","23.3
(16.0, 33.1)","6
(-0, 16)","14
(-1, 40)","23
(-2, 64)","297
(-22, 822)","743
(-55, 2,055)","1,189
(-88, 3,288)","0.8
(-0.1, 1.8)","2.1
(-0.2, 4.4)","3.3
(-0.2, 7.0)","26.1
(18.3, 36.6)","25.8
(18.1, 36.1)","25.4
(17.7, 35.6)"
1,Bangladesh,"8.4
(5.3, 12.8)","1,156
(727, 1,765)","8.2
(4.5, 13.3)","59
(32, 97)",Not modeled,Not modeled,Not modeled,Not modeled,"42.8
(41.3, 44.3)","51.9
(50.0, 53.9)","65.6
(62.9, 68.3)","79.3
(75.8, 82.7)","0.2
(0.1, 0.2)","7.8
(5.7, 9.7)","19.2
(14.2, 24.0)","30.6
(22.6, 38.2)","3
(-0, 7)","7
(-0, 17)","12
(-1, 28)","411
(-18, 949)","1,027
(-44, 2,373)","1,643
(-71, 3,797)","5.0
(-0.2, 9.4)","12.6
(-0.6, 23.5)","20.2
(-0.9, 37.6)","8.0
(5.0, 12.2)","7.3
(4.6, 11.2)","6.6
(3.9, 10.6)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"3
(-0, 7)","8
(-0, 17)","12
(-1, 28)","424
(-17, 956)","1,060
(-43, 2,391)","1,696
(-69, 3,825)","5.2
(-0.2, 9.3)","13.0
(-0.6, 23.2)","20.8
(-0.9, 37.2)","7.9
(5.0, 12.2)","7.2
(4.6, 11.3)","6.5
(3.9, 10.5)","2
(-0, 4)","5
(-0, 11)","8
(-0, 17)","268
(-15, 591)","671
(-37, 1,478)","1,073
(-60, 2,364)","3.3
(-0.2, 5.7)","8.2
(-0.5, 14.3)","13.2
(-0.8, 22.9)","8.1
(5.1, 12.4)","7.7
(4.9, 11.8)","7.2
(4.6, 11.1)"
2,Burkina Faso,"35.4
(26.0, 45.7)","1,433
(1,053, 1,848)","67.6
(17.2, 144.7)","1,671
(424, 3,576)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","51.0
(10.8, 90.4)","53.2
(13.8, 91.2)","56.6
(18.4, 92.3)","59.9
(23.0, 93.4)","12.2
(6.1, 18.4)","20.1
(9.4, 30.8)","31.9
(14.5, 49.4)","43.8
(19.6, 68.0)","80
(-6, 213)","200
(-15, 532)","321
(-24, 851)","3,244
(-239, 8,609)","8,109
(-598, 21,523)","12,974
(-957, 34,437)","4.8
(-0.3, 8.7)","12.0
(-0.7, 21.6)","19.2
(-1.0, 34.6)","33.6
(24.6, 43.3)","30.8
(22.0, 40.8)","27.9
(18.7, 39.2)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0
(0, 0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","0.0
(0.0, 0.0)","35.4
(26.0, 45.7)","35.4
(26.0, 45.7)","35.4
(26.0, 45.7)","21
(-1, 60)","52
(-3, 150)","84
(-4, 241)","849
(-43, 2,434)","2,123
(-108, 6,085)","3,397
(-172, 9,736)","1.3
(-0.0, 2.4)","3.1
(-0.1, 6.0)","5.0
(-0.2, 9.6)","34.9
(25.7, 45.3)","34.2
(25.1, 44.1)","33.4
(24.5, 43.2)","58
(-4, 180)","146
(-11, 450)","233
(-18, 720)","2,360
(-181, 7,276)","5,901
(-451, 18,191)","9,441
(-722, 29,105)","3.5
(-0.2, 7.6)","8.8
(-0.4, 18.9)","14.0
(-0.6, 30.2)","34.1
(25.2, 44.0)","32.0
(23.6, 41.8)","30.0
(21.0, 40.8)"
3,Cameroon,"27.9
(19.0, 38.5)","1,174
(798, 1,619)","63.6
(11.7, 137.4)","1,511
(279, 3,265)","5.2
(2.2, 8.2)","6.5
(2.7, 10.3)","8.4
(3.5, 13.3)","10.4
(4.3, 16.4)","30.5
(30.2, 30.8)","33.9
(33.0, 34.8)","39.1
(37.2, 40.8)","44.3
(41.4, 46.9)","43.1
(20.1, 65.5)","49.0
(24.4, 71.9)","57.9
(30.9, 81.4)","66.9
(37.4, 90.9)","72
(-7, 198)","180
(-18, 495)","287
(-28, 791)","3,022
(-298, 8,323)","7,556
(-745, 20,807)","12,089
(-1,192, 33,291)","4.7
(-0.3, 8.4)","11.8
(-0.7, 20.9)","19.0
(-1.1, 33.5)","26.4
(18.2, 36.2)","24.2
(16.4, 33.7)","22.0
(14.4, 32.2)","8
(-1, 26)","21
(-2, 66)","33
(-4, 106)","351
(-38, 1,111)","878
(-95, 2,777)","1,405
(-153, 4,444)","0.5
(-0.0, 1.1)","1.4
(-0.1, 2.8)","2.2
(-0.2, 4.5)","27.7
(18.8, 38.2)","27.5
(18.6, 37.9)","27.2
(18.5, 37.3)","26
(-2, 74)","64
(-6, 185)","103
(-10, 297)","1,084
(-102, 3,120)","2,709
(-256, 7,799)","4,334
(-410, 12,479)","1.7
(-0.1, 3.1)","4.2
(-0.2, 7.7)","6.8
(-0.4, 12.4)","27.4
(18.6, 37.8)","26.6
(18.2, 36.7)","25.8
(17.7, 35.2)","49
(-4, 148)","123
(-11, 371)","197
(-17, 594)","2,074
(-183, 6,243)","5,186
(-458, 15,607)","8,298
(-732, 24,971)","3.2
(-0.1, 6.8)","8.1
(-0.3, 16.9)","13.0
(-0.6, 27.1)","26.9
(18.4, 37.2)","25.3
(17.4, 34.8)","23.8
(15.9, 33.7)"
4,China,"3.9
(2.4, 6.1)","3,141
(1,924, 4,995)","12.5
(7.5, 18.8)","15
(9, 23)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"6.4
(3.3, 9.4)","15.8
(8.2, 23.3)","30.1
(15.6, 44.3)","44.3
(23.0, 65.2)","1
(-0, 3)","3
(-0, 6)","5
(-0, 10)","978
(-48, 2,059)","2,445
(-120, 5,148)","3,912
(-193, 8,236)","7.8
(-0.4, 12.9)","19.6
(-1.1, 32.2)","31.3
(-1.7, 51.6)","3.5
(2.2, 5.7)","3.1
(1.8, 5.0)","2.6
(1.4, 4.7)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"1
(-0, 1)","2
(-0, 4)","3
(-0, 6)","525
(-27, 1,147)","1,312
(-68, 2,867)","2,100
(-109, 4,586)","4.2
(-0.2, 8.3)","10.5
(-0.6, 20.8)","16.9
(-1.0, 33.3)","3.7
(2.3, 5.9)","3.4
(2.1, 5.5)","3.2
(1.9, 5.1)"
5,Côte d'Ivoire,"26.2
(18.3, 36.8)","1,051
(734, 1,475)","19.8
(7.2, 42.7)","493
(179, 1,063)","6.7
(2.7, 10.7)","7.2
(2.9, 11.4)","7.9
(3.2, 12.6)","8.6
(3.5, 13.7)","75.0
(74.3, 75.7)","79.6
(78.8, 80.4)","86.5
(85.6, 87.3)","93.4
(92.4, 94.3)","0.0
(0.0, 0.0)","2.3
(1.5, 3.2)","5.8
(3.8, 8.0)","9.3
(6.0, 12.8)","21
(-1, 55)","52
(-2, 139)","84
(-3, 222)","839
(-35, 2,226)","2,096
(-87, 5,564)","3,354
(-139, 8,903)","4.2
(-0.2, 7.8)","10.6
(-0.5, 19.4)","17.0
(-0.8, 31.0)","25.0
(17.4, 34.9)","23.2
(15.9, 32.6)","21.4
(14.2, 30.9)","1
(-0, 3)","3
(-0, 7)","4
(-0, 12)","42
(-2, 118)","104
(-4, 295)","166
(-7, 472)","0.2
(-0.0, 0.4)","0.5
(-0.0, 1.1)","0.8
(-0.0, 1.8)","26.1
(18.2, 36.6)","26.0
(18.2, 36.5)","26.0
(18.1, 36.4)","17
(-1, 48)","42
(-1, 121)","68
(-2, 194)","678
(-21, 1,943)","1,694
(-52, 4,857)","2,711
(-84, 7,772)","3.4
(-0.1, 7.1)","8.6
(-0.3, 17.8)","13.8
(-0.4, 28.5)","25.2
(17.5, 35.2)","23.7
(16.1, 33.0)","22.3
(14.6, 31.6)","5
(-0, 13)","12
(-1, 32)","19
(-1, 51)","195
(-9, 511)","486
(-23, 1,278)","778
(-37, 2,045)","1.0
(-0.1, 1.8)","2.5
(-0.1, 4.4)","3.9
(-0.2, 7.1)","25.9
(18.1, 36.3)","25.5
(17.8, 35.8)","25.1
(17.4, 35.4)"
6,Democratic Republic of the Congo,"51.4
(40.6, 62.5)","7,010
(5,528, 8,513)","176.1
(50.2, 390.1)","1,292
(369, 2,862)","0.0
(0.0, 0.0)","0.5
(0.3, 0.6)","1.1
(0.9, 1.4)","1.8
(1.4, 2.2)","0.0
(0.0, 0.0)","8.8
(8.2, 9.4)","22.0
(20.4, 23.5)","35.2
(32.7, 37.7)","0.0
(0.0, 0.0)","0.1
(0.1, 0.2)","0.3
(0.2, 0.4)","0.5
(0.3, 0.6)","78
(-5, 209)","195
(-13, 522)","311
(-21, 835)","10,611
(-714, 28,454)","26,527
(-1,786, 71,136)","42,444
(-2,857, 113,818)","6.1
(-0.4, 10.4)","15.2
(-0.9, 26.0)","24.3
(-1.4, 41.6)","47.9
(37.5, 58.8)","42.6
(32.3, 55.5)","37.3
(25.1, 53.3)","2
(-0, 6)","6
(-0, 16)","9
(-1, 26)","320
(-23, 880)","801
(-56, 2,199)","1,281
(-90, 3,518)","0.2
(-0.0, 0.3)","0.5
(-0.0, 0.8)","0.7
(-0.0, 1.3)","51.3
(40.4, 62.3)","51.2
(40.2, 62.1)","51.0
(40.0, 61.9)","46
(-3, 126)","114
(-8, 315)","182
(-12, 503)","6,209
(-420, 17,148)","15,523
(-1,051, 42,870)","24,837
(-1,682, 68,592)","3.6
(-0.2, 5.8)","8.9
(-0.5, 14.5)","14.2
(-0.8, 23.1)","49.4
(38.4, 60.1)","46.2
(35.8, 57.4)","43.1
(32.8, 55.5)","1
(-0, 2)","2
(-0, 4)","2
(-0, 7)","82
(-5, 243)","205
(-12, 607)","329
(-20, 972)","0.0
(-0.0, 0.1)","0.1
(-0.0, 0.2)","0.2
(-0.0, 0.3)","51.4
(40.5, 62.4)","51.4
(40.5, 62.4)","51.3
(40.4, 62.3)"
7,Egypt,"3.0
(1.8, 4.6)","320
(198, 494)","3.9
(1.5, 7.4)","36
(14, 69)","0.0
(0.0, 0.0)","6.4
(2.9, 10.2)","16.1
(7.2, 25.6)","25.8
(11.4, 40.9)",Not modeled,Not modeled,Not modeled,Not modeled,"15.6
(7.4, 23.0)","25.8
(12.6, 37.2)","41.1
(20.4, 58.5)","56.4
(28.1, 79.8)","2
(-0, 4)","4
(-0, 9)","7
(-0, 15)","176
(-10, 398)","440
(-25, 995)","705
(-40, 1,592)","4.6
(-0.2, 8.1)","11.5
(-0.6, 20.3)","18.5
(-0.9, 32.5)","2.8
(1.7, 4.3)","2.5
(1.6, 3.9)","2.3
(1.4, 3.7)","1
(-0, 2)","2
(-0, 6)","3
(-0, 9)","94
(-6, 251)","234
(-14, 626)","374
(-22, 1,002)","2.4
(-0.1, 5.2)","6.1
(-0.3, 12.9)","9.8
(-0.5, 20.6)","2.9
(1.8, 4.5)","2.7
(1.7, 4.3)","2.6
(1.6, 4.3)",Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,Not modeled,"1
(-0, 4)","4
(-0, 9)","6
(-0, 15)","161
(-9, 403)","403
(-22, 1,008)","645
(-35, 1,612)","4.2
(-0.2, 8.4)","10.6
(-0.4, 21.0)","16.9
(-0.7, 33.6)","2.8
(1.8, 4.4)","2.6
(1.6, 4.1)","2.3
(1.3, 3.8)"
8,Ethiopia,"35.7
(25.8, 47.4)","5,954
(4,307, 7,906)","152.0
(44.8, 290.9)","911
(269, 1,744)","0.0
(0.0, 0.0)","5.4
(2.1, 8.4)","13.4
(5.1, 21.0)","21.4
(8.2, 33.5)","0.0
(0.0, 0.0)","14.0
(12.8, 15.1)","35.0
(32.1, 37.8)","56.0
(51.3, 60.5)","0.0
(0.0, 0.0)","5.4
(4.7, 6.1)","13.5
(11.7, 15.3)","21.6
(18.7, 24.4)","51
(-4, 124)","126
(-10, 309)","202
(-15, 494)","8,435
(-641, 20,607)","21,087
(-1,601, 51,517)","33,740
(-2,562, 82,427)","5.5
(-0.3, 9.4)","13.8
(-0.7, 23.5)","22.0
(-1.1, 37.6)","33.5
(24.3, 44.7)","30.2
(21.5, 41.7)","26.9
(17.8, 40.0)","20
(-1, 54)","49
(-4, 135)","79
(-6, 216)","3,298
(-239, 8,991)","8,246
(-597, 22,478)","13,193
(-955, 35,964)","2.2
(-0.1, 4.4)","5.4
(-0.3, 10.9)","8.6
(-0.4, 17.4)","34.8
(25.2, 46.2)","33.5
(24.2, 44.5)","32.3
(23.0, 43.5)","52
(-4, 127)","130
(-10, 318)","209
(-17, 509)","8,699
(-696, 21,236)","21,747
(-1,740, 53,089)","34,795
(-2,784, 84,942)","5.7
(-0.3, 9.2)","14.2
(-0.8, 23.0)","22.7
(-1.3, 36.9)","33.4
(24.2, 44.5)","30.0
(21.5, 41.3)","26.6
(18.0, 39.7)","20
(-2, 49)","50
(-4, 122)","80
(-7, 195)","3,355
(-286, 8,132)","8,387
(-716, 20,330)","13,419
(-1,145, 32,528)","2.2
(-0.1, 3.6)","5.5
(-0.3, 9.0)","8.8
(-0.5, 14.4)","34.8
(25.2, 46.0)","33.5
(24.4, 44.4)","32.2
(23.2, 43.1)"
9,Ghana,"26.6
(17.8, 36.4)","1,057
(708, 1,446)","18.5
(6.9, 36.7)","465
(174, 925)","4.0
(1.6, 6.4)","5.5
(2.2, 8.7)","7.8
(3.1, 12.3)","10.0
(4.0, 15.9)","32.9
(30.5, 35.3)","42.7
(39.6, 45.8)","57.5
(53.2, 61.6)","72.2
(66.9, 77.4)","17.3
(8.7, 25.8)","23.7
(12.0, 35.3)","33.3
(16.8, 49.6)","42.9
(21.6, 63.8)","21
(-1, 57)","54
(-3, 141)","86
(-5, 226)","850
(-48, 2,244)","2,125
(-119, 5,609)","3,400
(-191, 8,974)","4.6
(-0.2, 8.6)","11.5
(-0.6, 21.6)","18.5
(-1.0, 34.5)","25.3
(16.9, 34.6)","23.2
(15.0, 32.5)","21.2
(13.1, 31.3)","3
(-0, 8)","7
(-1, 21)","12
(-1, 34)","118
(-10, 337)","295
(-24, 843)","471
(-38, 1,349)","0.6
(-0.0, 1.4)","1.6
(-0.1, 3.4)","2.6
(-0.2, 5.5)","26.4
(17.6, 36.3)","26.1
(17.5, 35.9)","25.9
(17.3, 35.3)","23
(-1, 58)","58
(-3, 146)","92
(-5, 233)","915
(-49, 2,311)","2,287
(-123, 5,778)","3,659
(-197, 9,244)","5.0
(-0.2, 8.8)","12.4
(-0.6, 22.1)","19.9
(-0.9, 35.3)","25.2
(16.9, 34.3)","23.0
(14.8, 32.2)","20.8
(12.8, 31.3)","14
(-1, 35)","34
(-2, 89)","54
(-4, 142)","540
(-38, 1,410)","1,350
(-95, 3,524)","2,160
(-151, 5,638)","2.9
(-0.1, 6.2)","7.3
(-0.4, 15.4)","11.7
(-0.6, 24.7)","25.8
(17.2, 35.3)","24.5
(16.0, 33.8)","23.2
(14.8, 32.5)"
