,Location,Vehicle,All,Folic acid,Iron,Vitamin A,Zinc
0,All modeled locations,wheat flour,"1,156,278 (358,598, 1,868,713)","338,820 (206,848, 557,796)","688,286 (120,716, 1,229,058)","108,862 (-8,731, 259,074)","20,310 (3,680, 52,963)"
1,All modeled locations,maize flour,"327,370 (101,948, 543,007)","104,340 (60,569, 171,016)","175,599 (29,306, 322,484)","43,316 (-3,011, 102,875)","4,115 (537, 11,664)"
2,All modeled locations,industry oil,"340,775 (-24,723, 806,290)",Not modeled,Not modeled,"340,775 (-24,723, 806,290)",Not modeled
3,All modeled locations,oil,"207,950 (-11,693, 470,937)",Not modeled,Not modeled,"207,950 (-11,693, 470,937)",Not modeled
4,Angola,wheat flour,"8,068 (2,183, 14,157)","2,816 (1,002, 6,218)","3,841 (455, 8,047)","1,189 (-88, 3,288)","222 (24, 640)"
5,Angola,maize flour,"2,633 (821, 4,473)","828 (306, 1,661)","1,398 (245, 2,838)","342 (-23, 849)","64 (7, 188)"
6,Angola,industry oil,"7,920 (-613, 19,794)",Not modeled,Not modeled,"7,920 (-613, 19,794)",Not modeled
7,Angola,oil,"3,653 (-274, 9,152)",Not modeled,Not modeled,"3,653 (-274, 9,152)",Not modeled
8,Bangladesh,wheat flour,"74,713 (16,418, 135,239)","12,206 (4,040, 27,493)","61,281 (8,841, 117,188)","1,073 (-60, 2,364)","153 (12, 486)"
9,Bangladesh,industry oil,"1,643 (-71, 3,797)",Not modeled,Not modeled,"1,643 (-71, 3,797)",Not modeled
10,Bangladesh,oil,"1,696 (-69, 3,825)",Not modeled,Not modeled,"1,696 (-69, 3,825)",Not modeled
11,Burkina Faso,wheat flour,"36,232 (7,669, 69,697)","12,421 (3,181, 31,616)","14,068 (1,460, 31,296)","9,441 (-722, 29,105)","303 (0, 1,134)"
12,Burkina Faso,maize flour,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)"
13,Burkina Faso,industry oil,"12,974 (-957, 34,437)",Not modeled,Not modeled,"12,974 (-957, 34,437)",Not modeled
14,Burkina Faso,oil,"3,397 (-172, 9,736)",Not modeled,Not modeled,"3,397 (-172, 9,736)",Not modeled
15,Cameroon,wheat flour,"19,120 (2,802, 43,842)","2,003 (748, 4,084)","8,426 (862, 22,476)","8,298 (-732, 24,971)","393 (0, 1,872)"
16,Cameroon,maize flour,"5,527 (1,247, 11,191)","1,685 (527, 3,792)","2,330 (199, 4,999)","1,405 (-153, 4,444)","107 (0, 360)"
17,Cameroon,industry oil,"12,089 (-1,192, 33,291)",Not modeled,Not modeled,"12,089 (-1,192, 33,291)",Not modeled
18,Cameroon,oil,"4,334 (-410, 12,479)",Not modeled,Not modeled,"4,334 (-410, 12,479)",Not modeled
19,China,wheat flour,"150,685 (22,380, 305,235)","19,767 (8,631, 33,167)","128,773 (7,249, 280,732)","2,100 (-109, 4,586)","45 (0, 175)"
20,China,industry oil,"3,912 (-193, 8,236)",Not modeled,Not modeled,"3,912 (-193, 8,236)",Not modeled
21,Côte d'Ivoire,wheat flour,"4,707 (1,894, 8,322)","3,242 (1,368, 6,123)","607 (74, 1,211)","778 (-37, 2,045)","79 (1, 304)"
22,Côte d'Ivoire,maize flour,"1,852 (537, 3,574)","700 (196, 1,551)","969 (68, 2,133)","166 (-7, 472)","17 (0, 63)"
23,Côte d'Ivoire,industry oil,"3,354 (-139, 8,903)",Not modeled,Not modeled,"3,354 (-139, 8,903)",Not modeled
24,Côte d'Ivoire,oil,"2,711 (-84, 7,772)",Not modeled,Not modeled,"2,711 (-84, 7,772)",Not modeled
25,Democratic Republic of the Congo,wheat flour,"1,548 (410, 2,763)","483 (206, 900)","667 (46, 1,386)","329 (-20, 972)","70 (10, 206)"
26,Democratic Republic of the Congo,maize flour,"6,046 (1,733, 10,817)","1,874 (828, 3,475)","2,619 (165, 5,253)","1,281 (-90, 3,518)","271 (45, 806)"
